Processing ranked directory: run_repeated_ranks_seeds/verified_claude/all_repro_rerank_88ee034de7cc_seed2382932842
[pytest-dev__pytest-7571] overlap 1/1: ['dedup_patch_6.jsonl']
[pydata__xarray-7229] overlap 0/1: []
[django__django-14373] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11239] overlap 0/1: []
[sphinx-doc__sphinx-11445] overlap 0/1: []
[django__django-13297] overlap 0/1: []
[pylint-dev__pylint-8898] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-15741] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-13417] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-15572] overlap 1/1: ['dedup_patch_3.jsonl']
[sympy__sympy-12481] overlap 1/1: ['dedup_patch_4.jsonl']
[django__django-15554] overlap 0/1: []
[django__django-11333] overlap 0/1: []
[sympy__sympy-19495] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-15380] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14765] overlap 1/1: ['dedup_patch_3.jsonl']
[sympy__sympy-23824] overlap 1/1: ['dedup_patch_9.jsonl']
[sympy__sympy-21379] overlap 0/1: []
[django__django-11815] overlap 0/1: []
[sphinx-doc__sphinx-8459] overlap 1/1: ['dedup_patch_7.jsonl']
[sympy__sympy-22714] overlap 1/1: ['dedup_patch_13.jsonl']
[sympy__sympy-21596] overlap 0/1: []
[sympy__sympy-13372] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-15814] overlap 1/1: ['dedup_patch_5.jsonl']
[matplotlib__matplotlib-22719] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11179] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16899] overlap 1/1: ['dedup_patch_3.jsonl']
[sympy__sympy-24443] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14011] overlap 0/1: []
[pytest-dev__pytest-10051] overlap 1/1: ['dedup_patch_13.jsonl']

Saved results to run_repeated_ranks_seeds/verified_claude/all_repro_rerank_88ee034de7cc_seed2382932842/ranked.json
